state,Dimension 1,Dimension 2
"State(shape1=Shape(sides='circle', shade='high', texture='plain'), shape2=Shape(sides='circle', shade='high', texture='plain'), shape3=Shape(sides='circle', shade='high', texture='plain'))",-8.684181427406443,57.05173905919832
"State(shape1=Shape(sides='circle', shade='high', texture='plain'), shape2=Shape(sides='circle', shade='high', texture='plain'), shape3=Shape(sides='circle', shade='high', texture='striped'))",-9.28255289040629,56.77863865581971
"State(shape1=Shape(sides='circle', shade='high', texture='plain'), shape2=Shape(sides='circle', shade='high', texture='plain'), shape3=Shape(sides='circle', shade='low', texture='plain'))",-2.233849092747951,51.79279711662386
"State(shape1=Shape(sides='circle', shade='high', texture='plain'), shape2=Shape(sides='circle', shade='high', texture='plain'), shape3=Shape(sides='circle', shade='low', texture='striped'))",-1.8445377347744716,52.286118409397254
"State(shape1=Shape(sides='circle', shade='high', texture='plain'), shape2=Shape(sides='circle', shade='high', texture='plain'), shape3=Shape(sides='circle', shade='medium', texture='plain'))",-7.250947860438336,38.99834310017329
"State(shape1=Shape(sides='circle', shade='high', texture='plain'), shape2=Shape(sides='circle', shade='high', texture='plain'), shape3=Shape(sides='circle', shade='medium', texture='striped'))",-7.312897432498135,37.92195104031567
"State(shape1=Shape(sides='circle', shade='high', texture='plain'), shape2=Shape(sides='circle', shade='high', texture='plain'), shape3=Shape(sides='square', shade='high', texture='plain'))",36.34738684158751,38.893858726765004
"State(shape1=Shape(sides='circle', shade='high', texture='plain'), shape2=Shape(sides='circle', shade='high', texture='plain'), shape3=Shape(sides='square', shade='high', texture='striped'))",35.27646462706346,38.90036709117094
"State(shape1=Shape(sides='circle', shade='high', texture='plain'), shape2=Shape(sides='circle', shade='high', texture='plain'), shape3=Shape(sides='square', shade='low', texture='plain'))",45.541776280289085,25.622754781761664
"State(shape1=Shape(sides='circle', shade='high', texture='plain'), shape2=Shape(sides='circle', shade='high', texture='plain'), shape3=Shape(sides='square', shade='low', texture='striped'))",45.29868301332873,25.60587180576578
"State(shape1=Shape(sides='circle', shade='high', texture='plain'), shape2=Shape(sides='circle', shade='high', texture='plain'), shape3=Shape(sides='square', shade='medium', texture='plain'))",29.62068860521333,56.04297848869579
"State(shape1=Shape(sides='circle', shade='high', texture='plain'), shape2=Shape(sides='circle', shade='high', texture='plain'), shape3=Shape(sides='square', shade='medium', texture='striped'))",29.664424485606997,56.215868659784505
"State(shape1=Shape(sides='circle', shade='high', texture='plain'), shape2=Shape(sides='circle', shade='high', texture='plain'), shape3=Shape(sides='triangle', shade='high', texture='plain'))",-51.19499255904696,12.580373371826743
"State(shape1=Shape(sides='circle', shade='high', texture='plain'), shape2=Shape(sides='circle', shade='high', texture='plain'), shape3=Shape(sides='triangle', shade='high', texture='striped'))",-51.580217032691365,14.38688702944126
"State(shape1=Shape(sides='circle', shade='high', texture='plain'), shape2=Shape(sides='circle', shade='high', texture='plain'), shape3=Shape(sides='triangle', shade='low', texture='plain'))",-46.19824956765249,28.618807591454264
"State(shape1=Shape(sides='circle', shade='high', texture='plain'), shape2=Shape(sides='circle', shade='high', texture='plain'), shape3=Shape(sides='triangle', shade='low', texture='striped'))",-46.326909869469745,28.723107941007687
"State(shape1=Shape(sides='circle', shade='high', texture='plain'), shape2=Shape(sides='circle', shade='high', texture='plain'), shape3=Shape(sides='triangle', shade='medium', texture='plain'))",-65.61598040276355,9.674448086766914
"State(shape1=Shape(sides='circle', shade='high', texture='plain'), shape2=Shape(sides='circle', shade='high', texture='plain'), shape3=Shape(sides='triangle', shade='medium', texture='striped'))",-65.62308868255056,9.916630867146372
"State(shape1=Shape(sides='circle', shade='high', texture='plain'), shape2=Shape(sides='circle', shade='high', texture='striped'), shape3=Shape(sides='circle', shade='high', texture='plain'))",-8.472542882625634,57.05958497226935
"State(shape1=Shape(sides='circle', shade='high', texture='plain'), shape2=Shape(sides='circle', shade='high', texture='striped'), shape3=Shape(sides='circle', shade='high', texture='striped'))",-8.996184795068487,56.81198673783597
"State(shape1=Shape(sides='circle', shade='high', texture='plain'), shape2=Shape(sides='circle', shade='high', texture='striped'), shape3=Shape(sides='circle', shade='low', texture='plain'))",-1.7575288928794455,51.66189132256691
"State(shape1=Shape(sides='circle', shade='high', texture='plain'), shape2=Shape(sides='circle', shade='high', texture='striped'), shape3=Shape(sides='circle', shade='low', texture='striped'))",-1.3184660907611188,52.0442590128381
"State(shape1=Shape(sides='circle', shade='high', texture='plain'), shape2=Shape(sides='circle', shade='high', texture='striped'), shape3=Shape(sides='circle', shade='medium', texture='plain'))",-7.059543727319688,38.793334853741435
"State(shape1=Shape(sides='circle', shade='high', texture='plain'), shape2=Shape(sides='circle', shade='high', texture='striped'), shape3=Shape(sides='circle', shade='medium', texture='striped'))",-7.090636971640553,37.836140358590356
"State(shape1=Shape(sides='circle', shade='high', texture='plain'), shape2=Shape(sides='circle', shade='high', texture='striped'), shape3=Shape(sides='square', shade='high', texture='plain'))",36.07174097414975,39.02167709363157
"State(shape1=Shape(sides='circle', shade='high', texture='plain'), shape2=Shape(sides='circle', shade='high', texture='striped'), shape3=Shape(sides='square', shade='high', texture='striped'))",35.37985100969136,38.87977142353912
"State(shape1=Shape(sides='circle', shade='high', texture='plain'), shape2=Shape(sides='circle', shade='high', texture='striped'), shape3=Shape(sides='square', shade='low', texture='plain'))",45.36812664597731,25.864983883262386
"State(shape1=Shape(sides='circle', shade='high', texture='plain'), shape2=Shape(sides='circle', shade='high', texture='striped'), shape3=Shape(sides='square', shade='low', texture='striped'))",45.14221795097567,25.816991203022493
"State(shape1=Shape(sides='circle', shade='high', texture='plain'), shape2=Shape(sides='circle', shade='high', texture='striped'), shape3=Shape(sides='square', shade='medium', texture='plain'))",29.52025639814229,55.90015262327305
"State(shape1=Shape(sides='circle', shade='high', texture='plain'), shape2=Shape(sides='circle', shade='high', texture='striped'), shape3=Shape(sides='square', shade='medium', texture='striped'))",29.52877965319379,56.03991374970039
"State(shape1=Shape(sides='circle', shade='high', texture='plain'), shape2=Shape(sides='circle', shade='high', texture='striped'), shape3=Shape(sides='triangle', shade='high', texture='plain'))",-51.298668903939934,11.779449471903558
"State(shape1=Shape(sides='circle', shade='high', texture='plain'), shape2=Shape(sides='circle', shade='high', texture='striped'), shape3=Shape(sides='triangle', shade='high', texture='striped'))",-51.563551169205084,13.76226721948
"State(shape1=Shape(sides='circle', shade='high', texture='plain'), shape2=Shape(sides='circle', shade='high', texture='striped'), shape3=Shape(sides='triangle', shade='low', texture='plain'))",-45.749053274458745,28.570958638732982
"State(shape1=Shape(sides='circle', shade='high', texture='plain'), shape2=Shape(sides='circle', shade='high', texture='striped'), shape3=Shape(sides='triangle', shade='low', texture='striped'))",-45.90504837508725,28.610373741900062
"State(shape1=Shape(sides='circle', shade='high', texture='plain'), shape2=Shape(sides='circle', shade='high', texture='striped'), shape3=Shape(sides='triangle', shade='medium', texture='plain'))",-65.68498923705872,8.399915891600084
"State(shape1=Shape(sides='circle', shade='high', texture='plain'), shape2=Shape(sides='circle', shade='high', texture='striped'), shape3=Shape(sides='triangle', shade='medium', texture='striped'))",-65.64369845012189,8.598494009948833
"State(shape1=Shape(sides='circle', shade='high', texture='plain'), shape2=Shape(sides='circle', shade='low', texture='plain'), shape3=Shape(sides='circle', shade='high', texture='plain'))",-3.6554151397405783,52.692791317868526
"State(shape1=Shape(sides='circle', shade='high', texture='plain'), shape2=Shape(sides='circle', shade='low', texture='plain'), shape3=Shape(sides='circle', shade='high', texture='striped'))",-3.847739455005247,52.62265307939891
"State(shape1=Shape(sides='circle', shade='high', texture='plain'), shape2=Shape(sides='circle', shade='low', texture='plain'), shape3=Shape(sides='circle', shade='low', texture='plain'))",-4.842600645416012,52.22986286545801
"State(shape1=Shape(sides='circle', shade='high', texture='plain'), shape2=Shape(sides='circle', shade='low', texture='plain'), shape3=Shape(sides='circle', shade='low', texture='striped'))",-4.76944906876238,52.38753515223456
"State(shape1=Shape(sides='circle', shade='high', texture='plain'), shape2=Shape(sides='circle', shade='low', texture='plain'), shape3=Shape(sides='circle', shade='medium', texture='plain'))",-4.36100685713864,43.85173621660441
"State(shape1=Shape(sides='circle', shade='high', texture='plain'), shape2=Shape(sides='circle', shade='low', texture='plain'), shape3=Shape(sides='circle', shade='medium', texture='striped'))",-4.249377402273011,43.59177828713015
"State(shape1=Shape(sides='circle', shade='high', texture='plain'), shape2=Shape(sides='circle', shade='low', texture='plain'), shape3=Shape(sides='square', shade='high', texture='plain'))",39.21004696281961,33.17125480534755
"State(shape1=Shape(sides='circle', shade='high', texture='plain'), shape2=Shape(sides='circle', shade='low', texture='plain'), shape3=Shape(sides='square', shade='high', texture='striped'))",38.582596562104186,33.235282820529015
"State(shape1=Shape(sides='circle', shade='high', texture='plain'), shape2=Shape(sides='circle', shade='low', texture='plain'), shape3=Shape(sides='square', shade='low', texture='plain'))",44.436670567443336,23.443914442179974
"State(shape1=Shape(sides='circle', shade='high', texture='plain'), shape2=Shape(sides='circle', shade='low', texture='plain'), shape3=Shape(sides='square', shade='low', texture='striped'))",44.01991003119413,23.419007273984683
"State(shape1=Shape(sides='circle', shade='high', texture='plain'), shape2=Shape(sides='circle', shade='low', texture='plain'), shape3=Shape(sides='square', shade='medium', texture='plain'))",53.161133970227446,42.251375497997024
"State(shape1=Shape(sides='circle', shade='high', texture='plain'), shape2=Shape(sides='circle', shade='low', texture='plain'), shape3=Shape(sides='square', shade='medium', texture='striped'))",52.95783217623405,42.60143725928699
"State(shape1=Shape(sides='circle', shade='high', texture='plain'), shape2=Shape(sides='circle', shade='low', texture='plain'), shape3=Shape(sides='triangle', shade='high', texture='plain'))",-46.92602597622296,18.64503062440438
"State(shape1=Shape(sides='circle', shade='high', texture='plain'), shape2=Shape(sides='circle', shade='low', texture='plain'), shape3=Shape(sides='triangle', shade='high', texture='striped'))",-46.662700041730496,18.909380028903595
"State(shape1=Shape(sides='circle', shade='high', texture='plain'), shape2=Shape(sides='circle', shade='low', texture='plain'), shape3=Shape(sides='triangle', shade='low', texture='plain'))",-41.57228260524475,28.870387316694668
"State(shape1=Shape(sides='circle', shade='high', texture='plain'), shape2=Shape(sides='circle', shade='low', texture='plain'), shape3=Shape(sides='triangle', shade='low', texture='striped'))",-41.79812806805696,29.291455974385762
"State(shape1=Shape(sides='circle', shade='high', texture='plain'), shape2=Shape(sides='circle', shade='low', texture='plain'), shape3=Shape(sides='triangle', shade='medium', texture='plain'))",-58.43558050847012,34.83043409031651
"State(shape1=Shape(sides='circle', shade='high', texture='plain'), shape2=Shape(sides='circle', shade='low', texture='plain'), shape3=Shape(sides='triangle', shade='medium', texture='striped'))",-59.19372509723876,33.84988914241143
"State(shape1=Shape(sides='circle', shade='high', texture='plain'), shape2=Shape(sides='circle', shade='low', texture='striped'), shape3=Shape(sides='circle', shade='high', texture='plain'))",-4.214410632477318,53.74789503223546
"State(shape1=Shape(sides='circle', shade='high', texture='plain'), shape2=Shape(sides='circle', shade='low', texture='striped'), shape3=Shape(sides='circle', shade='high', texture='striped'))",-4.3861055415621255,53.87002485235318
"State(shape1=Shape(sides='circle', shade='high', texture='plain'), shape2=Shape(sides='circle', shade='low', texture='striped'), shape3=Shape(sides='circle', shade='low', texture='plain'))",-5.137603530990179,52.58568976030521
"State(shape1=Shape(sides='circle', shade='high', texture='plain'), shape2=Shape(sides='circle', shade='low', texture='striped'), shape3=Shape(sides='circle', shade='low', texture='striped'))",-5.0475080746367595,52.7712945596942
"State(shape1=Shape(sides='circle', shade='high', texture='plain'), shape2=Shape(sides='circle', shade='low', texture='striped'), shape3=Shape(sides='circle', shade='medium', texture='plain'))",-5.106297484832966,44.50722451222399
"State(shape1=Shape(sides='circle', shade='high', texture='plain'), shape2=Shape(sides='circle', shade='low', texture='striped'), shape3=Shape(sides='circle', shade='medium', texture='striped'))",-5.100389212040815,44.225110162316504
"State(shape1=Shape(sides='circle', shade='high', texture='plain'), shape2=Shape(sides='circle', shade='low', texture='striped'), shape3=Shape(sides='square', shade='high', texture='plain'))",38.92557855071842,33.29552177511721
"State(shape1=Shape(sides='circle', shade='high', texture='plain'), shape2=Shape(sides='circle', shade='low', texture='striped'), shape3=Shape(sides='square', shade='high', texture='striped'))",38.47674093244042,33.3053401894021
"State(shape1=Shape(sides='circle', shade='high', texture='plain'), shape2=Shape(sides='circle', shade='low', texture='striped'), shape3=Shape(sides='square', shade='low', texture='plain'))",43.93624138740282,23.900990331041744
"State(shape1=Shape(sides='circle', shade='high', texture='plain'), shape2=Shape(sides='circle', shade='low', texture='striped'), shape3=Shape(sides='square', shade='low', texture='striped'))",43.70998485095742,23.8513408195629
"State(shape1=Shape(sides='circle', shade='high', texture='plain'), shape2=Shape(sides='circle', shade='low', texture='striped'), shape3=Shape(sides='square', shade='medium', texture='plain'))",52.586137004147766,42.84968918215055
"State(shape1=Shape(sides='circle', shade='high', texture='plain'), shape2=Shape(sides='circle', shade='low', texture='striped'), shape3=Shape(sides='square', shade='medium', texture='striped'))",52.20524776866631,43.36725617459098
"State(shape1=Shape(sides='circle', shade='high', texture='plain'), shape2=Shape(sides='circle', shade='low', texture='striped'), shape3=Shape(sides='triangle', shade='high', texture='plain'))",-47.100439293635596,18.779113183438344
"State(shape1=Shape(sides='circle', shade='high', texture='plain'), shape2=Shape(sides='circle', shade='low', texture='striped'), shape3=Shape(sides='triangle', shade='high', texture='striped'))",-46.70543999129839,19.267250690295782
"State(shape1=Shape(sides='circle', shade='high', texture='plain'), shape2=Shape(sides='circle', shade='low', texture='striped'), shape3=Shape(sides='triangle', shade='low', texture='plain'))",-41.94060221625869,29.134800401149434
"State(shape1=Shape(sides='circle', shade='high', texture='plain'), shape2=Shape(sides='circle', shade='low', texture='striped'), shape3=Shape(sides='triangle', shade='low', texture='striped'))",-42.11131515203515,29.343673514396684
"State(shape1=Shape(sides='circle', shade='high', texture='plain'), shape2=Shape(sides='circle', shade='low', texture='striped'), shape3=Shape(sides='triangle', shade='medium', texture='plain'))",-58.368244712555054,35.102209110538645
"State(shape1=Shape(sides='circle', shade='high', texture='plain'), shape2=Shape(sides='circle', shade='low', texture='striped'), shape3=Shape(sides='triangle', shade='medium', texture='striped'))",-59.0169264510296,34.383644378549945
